epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.66,1.35998,0.87184,1.30522,0.94419,0.88028,0.95238,0.64744,1.13514,0.67269,1.31925,0.0033264,0.0033264,0.0033264
2,570.475,1.31112,0.69713,1.28336,0.85543,0.7385,0.8441,0.5209,1.37296,1.05556,1.43889,0.00665314,0.00665314,0.00665314
3,848.443,1.38085,0.78407,1.34138,0.8381,0.78379,0.85525,0.49829,1.50605,1.09325,1.63433,0.00997328,0.00997328,0.00997328
4,1125.24,1.36729,0.76987,1.34952,0.82731,0.74849,0.81652,0.47182,1.59482,1.00377,1.71217,0.0099703,0.0099703,0.0099703
5,1403.05,1.34499,0.71705,1.33408,0.91299,0.80619,0.90153,0.56334,1.30914,0.79117,1.47678,0.0099604,0.0099604,0.0099604
6,1680.99,1.31832,0.6822,1.31348,0.90814,0.7774,0.87248,0.54965,1.35761,0.8427,1.52929,0.0099505,0.0099505,0.0099505
7,1961.52,1.29893,0.66297,1.29907,0.93315,0.87377,0.94083,0.61643,1.2117,0.625,1.4105,0.0099406,0.0099406,0.0099406
8,2238.21,1.28404,0.64046,1.28941,0.93074,0.87075,0.94116,0.59918,1.31991,0.66059,1.47441,0.0099307,0.0099307,0.0099307
9,2515.52,1.27376,0.63113,1.28531,0.90829,0.87922,0.94043,0.57318,1.35376,0.67801,1.4943,0.0099208,0.0099208,0.0099208
10,2792.39,1.25629,0.61475,1.27467,0.91072,0.8466,0.92276,0.59549,1.27096,0.67777,1.45182,0.0099109,0.0099109,0.0099109
11,3069.46,1.23868,0.60646,1.26454,0.91403,0.88112,0.94239,0.60169,1.26849,0.60254,1.46771,0.009901,0.009901,0.009901
12,3346.53,1.22971,0.58973,1.25445,0.94765,0.89619,0.95798,0.65057,1.16073,0.56188,1.36927,0.0098911,0.0098911,0.0098911
13,3624.41,1.21818,0.58465,1.24539,0.93898,0.88036,0.93877,0.56912,1.39747,0.64838,1.53821,0.0098812,0.0098812,0.0098812
14,3901.29,1.213,0.58166,1.24303,0.95036,0.87497,0.9423,0.61052,1.261,0.61473,1.44391,0.0098713,0.0098713,0.0098713
15,4178.29,1.21383,0.57381,1.24038,0.95592,0.8933,0.96022,0.64288,1.20516,0.5737,1.40544,0.0098614,0.0098614,0.0098614
16,4455.41,1.21118,0.57501,1.24287,0.94929,0.89533,0.95588,0.64829,1.15529,0.55168,1.38344,0.0098515,0.0098515,0.0098515
17,4733.95,1.19399,0.56012,1.22861,0.94459,0.88919,0.95624,0.63238,1.21012,0.56158,1.40819,0.0098416,0.0098416,0.0098416
18,5011.17,1.19201,0.55667,1.2341,0.95617,0.89689,0.96187,0.64855,1.18342,0.54214,1.38698,0.0098317,0.0098317,0.0098317
19,5288.29,1.18092,0.55133,1.22284,0.96367,0.89713,0.96219,0.65943,1.12736,0.52722,1.3461,0.0098218,0.0098218,0.0098218
20,5565.27,1.18357,0.54802,1.22493,0.94467,0.90243,0.95757,0.6348,1.19627,0.54881,1.4137,0.0098119,0.0098119,0.0098119
21,5842.42,1.17407,0.54272,1.21927,0.94806,0.89557,0.95604,0.64533,1.19543,0.54219,1.40028,0.009802,0.009802,0.009802
22,6120.11,1.17043,0.54006,1.21985,0.94763,0.88087,0.95496,0.64749,1.17268,0.54424,1.36628,0.0097921,0.0097921,0.0097921
23,6398.82,1.17067,0.53985,1.2128,0.95355,0.88208,0.9586,0.64843,1.18247,0.55261,1.37735,0.0097822,0.0097822,0.0097822
24,6677.15,1.16081,0.53225,1.21394,0.95042,0.91441,0.96972,0.65905,1.17829,0.50133,1.37499,0.0097723,0.0097723,0.0097723
