epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.713,1.69248,1.2455,1.51632,0.84764,0.82281,0.8822,0.49404,1.52771,1.01689,1.56055,0.0033264,0.0033264,0.0033264
2,560.096,1.60385,1.01311,1.44907,0.79968,0.76415,0.83348,0.4548,1.54314,1.35416,1.59528,0.00665314,0.00665314,0.00665314
3,837.323,1.66881,1.14276,1.51485,0.7502,0.66683,0.76097,0.39224,1.68039,1.69783,1.77371,0.00997328,0.00997328,0.00997328
4,1113.2,1.65774,1.13211,1.52284,0.87703,0.7405,0.82241,0.4405,1.6403,1.15423,1.75226,0.0099703,0.0099703,0.0099703
5,1389.65,1.62223,1.05559,1.50412,0.82843,0.79005,0.81963,0.4428,1.59583,1.11253,1.70662,0.0099604,0.0099604,0.0099604
6,1665.54,1.58991,0.99955,1.48154,0.86978,0.75006,0.84658,0.47093,1.56363,0.98701,1.66974,0.0099505,0.0099505,0.0099505
7,1943.03,1.56704,0.95874,1.46091,0.77679,0.74813,0.80713,0.4391,1.62336,1.10769,1.69981,0.0099406,0.0099406,0.0099406
8,2221.06,1.54027,0.92723,1.44147,0.89944,0.79514,0.87101,0.49287,1.53104,0.91243,1.66108,0.0099307,0.0099307,0.0099307
9,2497.06,1.52653,0.90583,1.43,0.89007,0.75355,0.8423,0.4787,1.56201,1.00387,1.67848,0.0099208,0.0099208,0.0099208
10,2773.14,1.5065,0.88138,1.422,0.86011,0.80523,0.85992,0.48604,1.53448,0.87634,1.64455,0.0099109,0.0099109,0.0099109
11,3050.83,1.4907,0.85941,1.41421,0.90892,0.79333,0.88672,0.49982,1.55183,0.86626,1.65349,0.009901,0.009901,0.009901
12,3327,1.47274,0.84431,1.39858,0.90031,0.78066,0.86296,0.48343,1.52285,0.91822,1.63831,0.0098911,0.0098911,0.0098911
13,3603.33,1.46051,0.82023,1.38671,0.89976,0.8092,0.8852,0.51761,1.45999,0.83151,1.58291,0.0098812,0.0098812,0.0098812
14,3880.81,1.44863,0.81225,1.3814,0.87419,0.77981,0.86327,0.49111,1.532,0.98094,1.61786,0.0098713,0.0098713,0.0098713
15,4157.03,1.45023,0.80776,1.37799,0.87066,0.80759,0.87009,0.49925,1.54131,0.86516,1.63789,0.0098614,0.0098614,0.0098614
16,4433.25,1.43998,0.79381,1.37679,0.79282,0.80487,0.84506,0.47824,1.55451,0.97172,1.63624,0.0098515,0.0098515,0.0098515
