epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.453,1.43121,2.05365,1.2154,0.90212,0.80944,0.88937,0.55207,1.23491,1.76301,1.13807,0.00330579,0.00330579,0.00330579
2,205.523,1.35902,1.05999,1.14022,0.65709,0.64876,0.64184,0.31592,1.69889,1.85307,1.49085,0.00663255,0.00663255,0.00663255
3,308.702,1.37917,0.9041,1.17994,0.69672,0.7185,0.75171,0.4347,1.46913,1.63346,1.32727,0.00995271,0.00995271,0.00995271
4,403.024,1.39163,0.84763,1.22445,0.87512,0.77403,0.86727,0.51764,1.38281,1.11973,1.26187,0.0099703,0.0099703,0.0099703
5,498.123,1.36065,0.79264,1.22333,0.86662,0.77006,0.84851,0.52197,1.39156,1.04469,1.27633,0.0099604,0.0099604,0.0099604
6,592.515,1.3388,0.75321,1.21804,0.79862,0.70123,0.79592,0.45422,1.60609,1.21817,1.48612,0.0099505,0.0099505,0.0099505
7,686.415,1.31432,0.72745,1.213,0.87264,0.84172,0.89921,0.57661,1.28735,0.83846,1.21549,0.0099406,0.0099406,0.0099406
8,780.714,1.29837,0.70255,1.20207,0.69147,0.68433,0.70518,0.39069,1.68578,1.52648,1.59194,0.0099307,0.0099307,0.0099307
9,874.608,1.29057,0.69286,1.2088,0.91158,0.8151,0.90129,0.54943,1.34928,0.84297,1.3251,0.0099208,0.0099208,0.0099208
10,968.959,1.27178,0.67774,1.19378,0.92377,0.8298,0.9044,0.57173,1.33122,0.81018,1.25406,0.0099109,0.0099109,0.0099109
11,1063.63,1.26525,0.66382,1.20046,0.92749,0.82619,0.90533,0.56777,1.31354,0.83497,1.27881,0.009901,0.009901,0.009901
12,1162.14,1.2538,0.65774,1.18902,0.86744,0.7472,0.84671,0.49089,1.50344,0.96733,1.37743,0.0098911,0.0098911,0.0098911
13,1256.12,1.25215,0.6469,1.18978,0.92776,0.85697,0.9353,0.5952,1.2848,0.72025,1.27872,0.0098812,0.0098812,0.0098812
14,1350.28,1.23782,0.63915,1.18241,0.88419,0.83245,0.9134,0.57656,1.26696,0.82022,1.2554,0.0098713,0.0098713,0.0098713
15,1444.02,1.23557,0.63614,1.18457,0.94674,0.88967,0.94625,0.55611,1.38176,0.69497,1.3184,0.0098614,0.0098614,0.0098614
16,1538.04,1.23314,0.62977,1.1845,0.93755,0.85558,0.92867,0.60203,1.28615,0.68975,1.26525,0.0098515,0.0098515,0.0098515
17,1631.96,1.22007,0.61826,1.17648,0.93318,0.88509,0.94021,0.59575,1.30424,0.67222,1.28184,0.0098416,0.0098416,0.0098416
18,1726.12,1.22312,0.61778,1.18192,0.95151,0.87425,0.94329,0.60381,1.26696,0.67394,1.29947,0.0098317,0.0098317,0.0098317
19,1820.67,1.21953,0.6092,1.17687,0.91684,0.82074,0.90757,0.55338,1.37913,0.79704,1.34523,0.0098218,0.0098218,0.0098218
