epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.328,1.78805,2.57243,1.44643,0.91217,0.79567,0.86307,0.48157,1.4586,1.82262,1.21773,0.00330579,0.00330579,0.00330579
2,213.733,1.65302,1.51785,1.30239,0.76484,0.53162,0.601,0.26064,2.05806,1.75707,1.57396,0.00663255,0.00663255,0.00663255
3,309.984,1.66758,1.33299,1.34264,0.54412,0.58155,0.47741,0.20363,1.96779,3.24357,1.58605,0.00995271,0.00995271,0.00995271
4,403.724,1.68759,1.28321,1.37953,0.64795,0.42327,0.44865,0.20572,2.38153,1.91068,2.01106,0.0099703,0.0099703,0.0099703
5,497.853,1.65615,1.2085,1.37415,0.73951,0.65563,0.76208,0.39615,1.65134,1.48859,1.4016,0.0099604,0.0099604,0.0099604
6,592.039,1.62459,1.13706,1.35861,0.60417,0.60229,0.63407,0.28434,1.99021,1.78855,1.65656,0.0099505,0.0099505,0.0099505
7,686.206,1.60359,1.09482,1.34827,0.8076,0.65324,0.75196,0.3869,1.67952,1.34879,1.44616,0.0099406,0.0099406,0.0099406
8,780.058,1.5805,1.0559,1.33026,0.87993,0.7544,0.83028,0.44168,1.6214,1.15521,1.35981,0.0099307,0.0099307,0.0099307
9,874.38,1.57576,1.03712,1.32427,0.55256,0.52361,0.49717,0.20978,2.3095,2.00205,2.00342,0.0099208,0.0099208,0.0099208
10,967.989,1.55453,1.01028,1.31887,0.69202,0.64442,0.68218,0.33772,1.89721,1.3506,1.63286,0.0099109,0.0099109,0.0099109
11,1062.08,1.54723,0.99438,1.3201,0.76833,0.70754,0.79116,0.41748,1.63127,1.6661,1.43091,0.009901,0.009901,0.009901
12,1155.72,1.53473,0.98069,1.30786,0.59276,0.60793,0.53445,0.23795,2.16046,1.67544,1.88165,0.0098911,0.0098911,0.0098911
13,1249.38,1.52451,0.96397,1.29922,0.908,0.76885,0.84292,0.46687,1.5711,1.06081,1.35864,0.0098812,0.0098812,0.0098812
14,1343.18,1.51125,0.94266,1.28765,0.85253,0.76271,0.82449,0.43513,1.61219,1.15843,1.42295,0.0098713,0.0098713,0.0098713
15,1436.76,1.51403,0.9446,1.2888,0.84258,0.76716,0.83403,0.43036,1.70255,1.05358,1.44901,0.0098614,0.0098614,0.0098614
16,1530.63,1.50541,0.92878,1.28583,0.82984,0.73254,0.83241,0.44229,1.64826,1.11316,1.45741,0.0098515,0.0098515,0.0098515
17,1624.38,1.49117,0.9115,1.27722,0.8631,0.81862,0.87969,0.49714,1.51781,0.92928,1.32707,0.0098416,0.0098416,0.0098416
18,1722.32,1.48724,0.91122,1.28197,0.90718,0.7923,0.86761,0.4821,1.53283,0.96993,1.37783,0.0098317,0.0098317,0.0098317
19,1815.98,1.48416,0.90382,1.27781,0.85663,0.78126,0.86015,0.46439,1.59006,1.00127,1.39488,0.0098218,0.0098218,0.0098218
20,1910.22,1.47193,0.88942,1.26666,0.89647,0.7562,0.85224,0.46146,1.59327,1.01149,1.39099,0.0098119,0.0098119,0.0098119
21,2003.88,1.47425,0.88644,1.26857,0.88669,0.77577,0.8546,0.45534,1.61908,0.99102,1.42721,0.009802,0.009802,0.009802
22,2097.78,1.47131,0.88598,1.26801,0.80444,0.75118,0.82381,0.44874,1.60945,1.11058,1.4222,0.0097921,0.0097921,0.0097921
23,2191.7,1.45671,0.87015,1.25397,0.88198,0.74994,0.83309,0.4529,1.5932,1.05847,1.39307,0.0097822,0.0097822,0.0097822
24,2285.63,1.45418,0.86625,1.26024,0.85892,0.78162,0.86514,0.47337,1.57556,0.93155,1.36937,0.0097723,0.0097723,0.0097723
25,2379.48,1.45172,0.85687,1.25542,0.89095,0.77897,0.86608,0.47725,1.58925,0.94716,1.40604,0.0097624,0.0097624,0.0097624
26,2473.09,1.44191,0.84837,1.25074,0.9328,0.80149,0.88426,0.51909,1.47266,0.88074,1.30898,0.0097525,0.0097525,0.0097525
27,2567.07,1.43952,0.84467,1.25235,0.80836,0.76439,0.8239,0.44467,1.62991,1.04543,1.44463,0.0097426,0.0097426,0.0097426
