epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.747,1.07763,0.73143,1.21557,0.91927,0.79002,0.8801,0.56638,1.35594,0.84539,1.48489,0.00332338,0.00332338,0.00332338
2,287.572,0.9586,0.51695,1.13431,0.95147,0.85702,0.93265,0.64644,1.13381,0.63225,1.37838,0.00665013,0.00665013,0.00665013
3,428.843,0.94226,0.52102,1.13383,0.90799,0.82426,0.9047,0.54888,1.38423,0.87105,1.59313,0.00997027,0.00997027,0.00997027
4,569.744,0.97059,0.54187,1.15509,0.91087,0.83954,0.90613,0.57103,1.32407,0.71944,1.53746,0.0099703,0.0099703,0.0099703
5,710.575,0.911,0.49928,1.11795,0.9336,0.8621,0.93626,0.62608,1.20307,0.62829,1.43699,0.0099604,0.0099604,0.0099604
6,851.492,0.85651,0.46723,1.09059,0.91459,0.80872,0.91606,0.59997,1.22885,0.68789,1.45029,0.0099505,0.0099505,0.0099505
7,992.333,0.81088,0.44071,1.06188,0.91425,0.8828,0.9483,0.63692,1.2029,0.59409,1.438,0.0099406,0.0099406,0.0099406
8,1133.03,0.78193,0.41989,1.05144,0.93377,0.84572,0.91917,0.59385,1.4157,0.72864,1.57475,0.0099307,0.0099307,0.0099307
9,1273.94,0.75997,0.40945,1.04262,0.93649,0.86143,0.93372,0.61334,1.22338,0.62244,1.45867,0.0099208,0.0099208,0.0099208
10,1414.9,0.73468,0.39555,1.02985,0.94446,0.86435,0.93675,0.62722,1.19651,0.59012,1.46755,0.0099109,0.0099109,0.0099109
11,1555.78,0.71847,0.38533,1.02443,0.94493,0.87666,0.95299,0.65259,1.15724,0.54712,1.39536,0.009901,0.009901,0.009901
12,1696.78,0.69387,0.37472,1.01046,0.93998,0.85281,0.93581,0.61835,1.24946,0.6006,1.45815,0.0098911,0.0098911,0.0098911
13,1837.96,0.6757,0.36124,1.001,0.89267,0.8769,0.93227,0.62655,1.20897,0.59244,1.4741,0.0098812,0.0098812,0.0098812
14,1978.76,0.67567,0.36164,1.00768,0.94271,0.87015,0.94043,0.63252,1.21728,0.57039,1.43548,0.0098713,0.0098713,0.0098713
15,2119.64,0.65317,0.3483,0.99253,0.94293,0.87148,0.94362,0.62365,1.21979,0.60327,1.45743,0.0098614,0.0098614,0.0098614
16,2260.55,0.64416,0.34503,0.98802,0.93051,0.85485,0.92573,0.61057,1.25872,0.58781,1.4717,0.0098515,0.0098515,0.0098515
17,2401.47,0.63828,0.34014,0.98806,0.93401,0.88123,0.94785,0.64166,1.19404,0.55826,1.42973,0.0098416,0.0098416,0.0098416
18,2542.55,0.6278,0.33457,0.98314,0.95582,0.87473,0.95042,0.64612,1.14808,0.53969,1.40129,0.0098317,0.0098317,0.0098317
19,2683.46,0.62121,0.33081,0.97867,0.94973,0.87015,0.93762,0.63934,1.18464,0.59059,1.43838,0.0098218,0.0098218,0.0098218
20,2824.31,0.61792,0.33008,0.97963,0.95093,0.87075,0.94139,0.64094,1.1708,0.57148,1.41084,0.0098119,0.0098119,0.0098119
21,2965.16,0.61179,0.32497,0.97656,0.93434,0.89135,0.94582,0.63042,1.22878,0.53718,1.46245,0.009802,0.009802,0.009802
22,3105.97,0.60186,0.32093,0.97183,0.94728,0.88894,0.95058,0.64911,1.17706,0.5447,1.4288,0.0097921,0.0097921,0.0097921
23,3247.41,0.60079,0.31802,0.97108,0.93928,0.87387,0.93832,0.62899,1.2294,0.55599,1.47692,0.0097822,0.0097822,0.0097822
24,3388.41,0.59306,0.31442,0.9698,0.93971,0.89365,0.94606,0.64381,1.19188,0.51876,1.42762,0.0097723,0.0097723,0.0097723
25,3529.34,0.58797,0.31014,0.96606,0.93809,0.89065,0.95073,0.64526,1.18665,0.51833,1.42058,0.0097624,0.0097624,0.0097624
26,3670.25,0.57842,0.30636,0.96081,0.96109,0.89689,0.95611,0.65714,1.15377,0.52274,1.41043,0.0097525,0.0097525,0.0097525
