epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.346,1.42492,0.96071,1.39982,0.8935,0.73645,0.82966,0.47473,1.50045,1.05722,1.59109,0.00332338,0.00332338,0.00332338
2,292.391,1.14436,0.65377,1.19658,0.76389,0.70634,0.79307,0.43907,1.53082,1.23099,1.55834,0.00665013,0.00665013,0.00665013
3,435.065,1.08137,0.64851,1.19112,0.85708,0.73151,0.81465,0.42999,1.66091,1.07745,1.82313,0.00997027,0.00997027,0.00997027
4,577.679,1.11333,0.68893,1.22834,0.81963,0.6761,0.77629,0.41374,1.6497,1.1456,1.82791,0.0099703,0.0099703,0.0099703
5,721.27,1.02719,0.62972,1.17835,0.79868,0.74645,0.8183,0.43534,1.60053,1.22909,1.72131,0.0099604,0.0099604,0.0099604
6,864.099,0.95187,0.58417,1.1416,0.82083,0.7173,0.80055,0.42501,1.66232,0.99905,1.81408,0.0099505,0.0099505,0.0099505
7,1007.04,0.90982,0.55302,1.11698,0.83793,0.7716,0.84779,0.47833,1.53493,0.91881,1.7045,0.0099406,0.0099406,0.0099406
8,1150,0.86023,0.5259,1.08922,0.87028,0.77178,0.85124,0.47667,1.54811,0.94675,1.71004,0.0099307,0.0099307,0.0099307
9,1292.72,0.8374,0.50381,1.0805,0.91243,0.79443,0.86698,0.48794,1.54732,0.86015,1.70948,0.0099208,0.0099208,0.0099208
10,1435.48,0.81094,0.48972,1.06855,0.85365,0.77837,0.82191,0.45807,1.55436,0.939,1.71359,0.0099109,0.0099109,0.0099109
11,1578.45,0.78779,0.47854,1.06103,0.85226,0.76989,0.84966,0.48287,1.52573,0.91167,1.68666,0.009901,0.009901,0.009901
12,1721.05,0.77063,0.46404,1.04668,0.88875,0.78135,0.85473,0.46569,1.58143,0.91484,1.72663,0.0098911,0.0098911,0.0098911
13,1863.92,0.74376,0.44749,1.03637,0.86622,0.77692,0.85384,0.48741,1.52836,0.89257,1.68267,0.0098812,0.0098812,0.0098812
14,2006.3,0.74674,0.45027,1.04371,0.86997,0.78379,0.85483,0.48015,1.53973,0.87556,1.70457,0.0098713,0.0098713,0.0098713
15,2148.99,0.72051,0.43476,1.02743,0.82799,0.7862,0.84885,0.47406,1.55288,0.8911,1.73028,0.0098614,0.0098614,0.0098614
16,2291.79,0.71854,0.42998,1.0277,0.89973,0.79546,0.86549,0.49413,1.50663,0.8363,1.68923,0.0098515,0.0098515,0.0098515
17,2435.04,0.70609,0.42154,1.02038,0.89695,0.76223,0.8524,0.48513,1.51166,0.92036,1.66219,0.0098416,0.0098416,0.0098416
18,2577.92,0.68983,0.41685,1.01387,0.90821,0.78179,0.86497,0.49552,1.51864,0.84614,1.6673,0.0098317,0.0098317,0.0098317
19,2720.77,0.68838,0.40767,1.01201,0.90539,0.77656,0.86338,0.49204,1.498,0.86871,1.64625,0.0098218,0.0098218,0.0098218
20,2863.57,0.68495,0.40501,1.01219,0.89355,0.75054,0.85195,0.48666,1.52624,0.87439,1.67874,0.0098119,0.0098119,0.0098119
21,3006.5,0.68063,0.3992,1.00916,0.84395,0.74849,0.82987,0.46481,1.55577,0.89124,1.68833,0.009802,0.009802,0.009802
22,3149.3,0.66611,0.39047,1.0023,0.86853,0.7721,0.85101,0.48469,1.51738,0.87685,1.6617,0.0097921,0.0097921,0.0097921
23,3292.16,0.66312,0.38986,1.00045,0.87546,0.76897,0.86063,0.48268,1.54643,0.85107,1.67524,0.0097822,0.0097822,0.0097822
24,3435.3,0.66153,0.38572,1.00314,0.88827,0.76991,0.84996,0.47652,1.53221,0.88558,1.68012,0.0097723,0.0097723,0.0097723
25,3577.78,0.65087,0.38194,0.99517,0.90868,0.79656,0.87155,0.49603,1.4991,0.82083,1.64869,0.0097624,0.0097624,0.0097624
26,3720.19,0.64272,0.37713,0.99206,0.87974,0.81559,0.87937,0.50768,1.47774,0.79633,1.64072,0.0097525,0.0097525,0.0097525
27,3863.09,0.64859,0.37901,0.99712,0.89888,0.77813,0.85483,0.48661,1.52025,0.83948,1.67582,0.0097426,0.0097426,0.0097426
28,4005.44,0.63869,0.37247,0.99332,0.84933,0.7986,0.86539,0.50261,1.48809,0.817,1.64907,0.0097327,0.0097327,0.0097327
29,4147.94,0.63856,0.3729,0.99256,0.93241,0.79005,0.86238,0.49752,1.49332,0.81598,1.65319,0.0097228,0.0097228,0.0097228
30,4290.96,0.62348,0.36494,0.98658,0.86721,0.78656,0.8443,0.48304,1.51125,0.92488,1.66966,0.0097129,0.0097129,0.0097129
31,4433.96,0.63079,0.36441,0.98936,0.89916,0.79161,0.86722,0.49334,1.51202,0.83559,1.64497,0.009703,0.009703,0.009703
32,4576.55,0.62855,0.36175,0.98963,0.9042,0.81064,0.88586,0.51078,1.49064,0.75372,1.6405,0.0096931,0.0096931,0.0096931
33,4719.1,0.62132,0.36131,0.98632,0.90423,0.78114,0.87746,0.50261,1.49726,0.76725,1.65825,0.0096832,0.0096832,0.0096832
34,4861.7,0.62102,0.35616,0.98306,0.89006,0.81306,0.87527,0.50663,1.48445,0.78294,1.63023,0.0096733,0.0096733,0.0096733
35,5004.12,0.61992,0.35439,0.98607,0.87357,0.80619,0.87204,0.50772,1.48288,0.78031,1.63616,0.0096634,0.0096634,0.0096634
36,5146.72,0.6068,0.35218,0.97903,0.91839,0.79029,0.87378,0.5055,1.49289,0.79882,1.63372,0.0096535,0.0096535,0.0096535
37,5289.36,0.60876,0.35156,0.98193,0.88959,0.80261,0.88292,0.51119,1.47837,0.79184,1.61806,0.0096436,0.0096436,0.0096436
38,5432.12,0.60019,0.34396,0.97609,0.86007,0.80031,0.86655,0.49982,1.50619,0.80998,1.65784,0.0096337,0.0096337,0.0096337
39,5574.57,0.60533,0.34843,0.97873,0.86669,0.81991,0.87995,0.50972,1.50026,0.76705,1.6548,0.0096238,0.0096238,0.0096238
40,5717,0.59628,0.34381,0.97219,0.90819,0.78463,0.87292,0.50367,1.49822,0.7951,1.6361,0.0096139,0.0096139,0.0096139
41,5859.59,0.5992,0.34237,0.97823,0.91041,0.77722,0.86564,0.4933,1.51075,0.81946,1.66775,0.009604,0.009604,0.009604
42,6001.95,0.59745,0.34186,0.97355,0.86085,0.82426,0.87554,0.50655,1.48269,0.77559,1.63872,0.0095941,0.0095941,0.0095941
43,6144.51,0.59844,0.3481,0.97695,0.92235,0.81438,0.88151,0.51068,1.48697,0.75573,1.65283,0.0095842,0.0095842,0.0095842
