epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.81,1.4377,1.99397,1.2591,0.94442,0.85341,0.92946,0.59634,1.21322,1.76834,1.09688,0.00330097,0.00330097,0.00330097
2,225.106,1.35233,1.05954,1.17933,0.85306,0.75379,0.84895,0.53645,1.3087,1.11829,1.18242,0.00662774,0.00662774,0.00662774
3,313.02,1.35917,0.88496,1.20902,0.55735,0.49542,0.49916,0.25192,1.87626,3.1199,1.7047,0.0099479,0.0099479,0.0099479
4,400.965,1.36691,0.82946,1.2421,0.70939,0.62364,0.71338,0.41565,1.4551,2.40182,1.40049,0.0099703,0.0099703,0.0099703
5,488.093,1.34108,0.76551,1.24129,0.76761,0.6908,0.74976,0.40228,1.63576,1.38616,1.53431,0.0099604,0.0099604,0.0099604
6,575.31,1.3184,0.72947,1.23304,0.92007,0.82667,0.90784,0.58315,1.26396,0.81958,1.29895,0.0099505,0.0099505,0.0099505
7,662.603,1.29608,0.70555,1.22992,0.77701,0.68995,0.76841,0.41154,1.6951,1.2491,1.63994,0.0099406,0.0099406,0.0099406
8,751.184,1.28903,0.69044,1.22424,0.93398,0.8571,0.92916,0.5745,1.32427,0.78239,1.41207,0.0099307,0.0099307,0.0099307
9,838.305,1.26824,0.66698,1.21335,0.92326,0.82607,0.9264,0.5887,1.26007,0.88157,1.28349,0.0099208,0.0099208,0.0099208
10,925.714,1.27137,0.66222,1.21687,0.9525,0.8522,0.93096,0.5882,1.27803,0.72974,1.33862,0.0099109,0.0099109,0.0099109
11,1012.61,1.26108,0.64947,1.21938,0.91366,0.78788,0.87181,0.55422,1.33285,0.87911,1.3674,0.009901,0.009901,0.009901
12,1099.63,1.24944,0.64062,1.21262,0.92477,0.84698,0.9217,0.58275,1.27994,0.79364,1.29867,0.0098911,0.0098911,0.0098911
13,1186.54,1.23879,0.62977,1.19513,0.93139,0.85032,0.92856,0.58942,1.30474,0.75407,1.41083,0.0098812,0.0098812,0.0098812
14,1273.52,1.2331,0.62245,1.20332,0.90983,0.82282,0.91022,0.60594,1.26692,0.80202,1.32774,0.0098713,0.0098713,0.0098713
15,1360.5,1.22906,0.61677,1.20208,0.94103,0.86875,0.948,0.61549,1.23939,0.64821,1.33121,0.0098614,0.0098614,0.0098614
16,1447.43,1.22235,0.61327,1.19954,0.93375,0.87136,0.93958,0.59868,1.27402,0.67553,1.38689,0.0098515,0.0098515,0.0098515
17,1534.35,1.2177,0.6052,1.19214,0.944,0.8771,0.94456,0.61369,1.25754,0.66039,1.36103,0.0098416,0.0098416,0.0098416
18,1621.5,1.21318,0.60515,1.20316,0.94182,0.88726,0.95197,0.63595,1.2291,0.63032,1.35198,0.0098317,0.0098317,0.0098317
19,1710.37,1.21159,0.59765,1.193,0.90797,0.82101,0.89979,0.58862,1.27602,0.7639,1.37229,0.0098218,0.0098218,0.0098218
20,1797.6,1.20374,0.59115,1.19127,0.89004,0.89376,0.93537,0.60494,1.24681,0.70318,1.30215,0.0098119,0.0098119,0.0098119
21,1884.81,1.2019,0.58942,1.19106,0.90918,0.81035,0.90092,0.57191,1.33602,0.80932,1.41224,0.009802,0.009802,0.009802
22,1971.97,1.20261,0.58547,1.19127,0.94602,0.87907,0.94968,0.58911,1.31342,0.65054,1.40236,0.0097921,0.0097921,0.0097921
