epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.888,1.80326,2.46926,1.47523,0.8836,0.77885,0.85866,0.47423,1.44925,1.968,1.2116,0.00330097,0.00330097,0.00330097
2,195.292,1.63587,1.47905,1.31604,0.89155,0.7232,0.82208,0.44328,1.51043,1.52272,1.28473,0.00662774,0.00662774,0.00662774
3,283.389,1.64985,1.29435,1.33671,0.71417,0.61202,0.68436,0.32525,1.81893,1.85252,1.48593,0.0099479,0.0099479,0.0099479
4,370.951,1.66364,1.24427,1.3789,0.75595,0.6272,0.68361,0.34206,1.75027,1.51309,1.48563,0.0099703,0.0099703,0.0099703
5,459.09,1.63434,1.15946,1.36852,0.83402,0.71965,0.79459,0.41934,1.59307,1.25834,1.41593,0.0099604,0.0099604,0.0099604
6,547.263,1.60375,1.0997,1.35454,0.79136,0.7073,0.75748,0.40259,1.59512,1.51189,1.42067,0.0099505,0.0099505,0.0099505
7,634.848,1.58406,1.05936,1.34763,0.85456,0.64406,0.74136,0.38774,1.68692,1.34396,1.47659,0.0099406,0.0099406,0.0099406
8,722.703,1.57436,1.03875,1.34762,0.86022,0.67682,0.75761,0.39203,1.78745,1.43802,1.66619,0.0099307,0.0099307,0.0099307
9,811.032,1.553,1.01145,1.33412,0.57948,0.46338,0.5044,0.23428,2.19789,2.53015,1.95786,0.0099208,0.0099208,0.0099208
10,899.059,1.54919,0.99242,1.32915,0.8446,0.73914,0.81007,0.42705,1.63647,1.16737,1.45464,0.0099109,0.0099109,0.0099109
11,987.16,1.53874,0.96755,1.32821,0.85594,0.68971,0.77713,0.41613,1.63798,1.28156,1.46318,0.009901,0.009901,0.009901
12,1074.65,1.52666,0.95918,1.32484,0.84147,0.72766,0.79608,0.42218,1.66568,1.12807,1.4893,0.0098911,0.0098911,0.0098911
13,1162.22,1.51388,0.93274,1.30972,0.88851,0.72862,0.83243,0.47111,1.55038,1.01833,1.40652,0.0098812,0.0098812,0.0098812
14,1249.73,1.50217,0.92857,1.31038,0.78665,0.6231,0.65918,0.32529,1.97046,1.35472,1.72636,0.0098713,0.0098713,0.0098713
15,1337.99,1.49615,0.91871,1.31139,0.86325,0.72513,0.82025,0.4614,1.55759,1.04715,1.41396,0.0098614,0.0098614,0.0098614
16,1425.47,1.49165,0.90544,1.3086,0.91303,0.78025,0.86387,0.46762,1.58589,0.97324,1.4051,0.0098515,0.0098515,0.0098515
17,1514.11,1.48753,0.89616,1.30456,0.8124,0.74541,0.82127,0.45175,1.54418,1.16489,1.41725,0.0098416,0.0098416,0.0098416
18,1603.72,1.47514,0.89004,1.30511,0.80513,0.69971,0.76522,0.37578,1.81047,1.22599,1.64956,0.0098317,0.0098317,0.0098317
19,1691.21,1.47334,0.87023,1.3003,0.87214,0.64346,0.74167,0.40582,1.61699,1.3993,1.51261,0.0098218,0.0098218,0.0098218
20,1778.77,1.46368,0.87327,1.29018,0.87458,0.73645,0.8276,0.45016,1.61376,1.03882,1.47516,0.0098119,0.0098119,0.0098119
21,1867.06,1.45961,0.86079,1.29717,0.79338,0.69933,0.77338,0.41512,1.63926,1.25131,1.53969,0.009802,0.009802,0.009802
22,1954.56,1.46488,0.86198,1.29922,0.89521,0.74837,0.84703,0.47563,1.52865,1.04164,1.37562,0.0097921,0.0097921,0.0097921
23,2041.78,1.451,0.84194,1.28508,0.81853,0.58058,0.68363,0.36476,1.82123,1.70318,1.69393,0.0097822,0.0097822,0.0097822
24,2129.38,1.44387,0.84221,1.29079,0.76591,0.76023,0.81902,0.45324,1.56896,1.07808,1.44182,0.0097723,0.0097723,0.0097723
25,2217,1.44179,0.83383,1.28609,0.87823,0.76813,0.84932,0.47026,1.56889,0.99845,1.45226,0.0097624,0.0097624,0.0097624
26,2304.47,1.43588,0.83136,1.28104,0.77895,0.70077,0.75704,0.38474,1.80468,1.2158,1.63521,0.0097525,0.0097525,0.0097525
27,2391.7,1.43448,0.82037,1.27944,0.9054,0.76085,0.83304,0.46723,1.58522,1.09097,1.46706,0.0097426,0.0097426,0.0097426
28,2479.33,1.43102,0.81794,1.27958,0.90474,0.76476,0.84393,0.45683,1.62198,1.0494,1.4649,0.0097327,0.0097327,0.0097327
29,2567.11,1.42268,0.811,1.27584,0.89926,0.76343,0.84812,0.47364,1.58005,0.96574,1.47136,0.0097228,0.0097228,0.0097228
30,2654.66,1.41722,0.80477,1.27401,0.90159,0.75825,0.85506,0.47176,1.58052,0.94977,1.4747,0.0097129,0.0097129,0.0097129
31,2741.95,1.41597,0.81181,1.27673,0.90583,0.81335,0.87738,0.50302,1.48544,0.92312,1.39993,0.009703,0.009703,0.009703
32,2829.83,1.41244,0.80587,1.27712,0.81622,0.77969,0.84695,0.47666,1.53698,0.98362,1.44422,0.0096931,0.0096931,0.0096931
33,2917,1.41075,0.79739,1.27297,0.90603,0.7874,0.86415,0.4814,1.56876,0.91249,1.44206,0.0096832,0.0096832,0.0096832
34,3004.32,1.40625,0.79493,1.26614,0.9082,0.77837,0.86559,0.49204,1.55053,0.89881,1.44228,0.0096733,0.0096733,0.0096733
35,3092.11,1.40471,0.78638,1.266,0.80052,0.76921,0.83266,0.47574,1.51553,0.99886,1.41125,0.0096634,0.0096634,0.0096634
36,3179.62,1.39485,0.78365,1.26225,0.78855,0.81709,0.84042,0.47647,1.52125,0.99304,1.43494,0.0096535,0.0096535,0.0096535
37,3267.33,1.40017,0.78371,1.26737,0.9044,0.77485,0.85958,0.48289,1.55875,0.92126,1.45925,0.0096436,0.0096436,0.0096436
38,3354.61,1.39481,0.77169,1.26195,0.87044,0.79391,0.86049,0.49089,1.52518,0.90979,1.43932,0.0096337,0.0096337,0.0096337
39,3441.83,1.38743,0.76916,1.26196,0.90599,0.76789,0.86287,0.48434,1.54732,0.9283,1.49,0.0096238,0.0096238,0.0096238
40,3529.27,1.38996,0.76837,1.26485,0.84279,0.73163,0.83213,0.46434,1.5654,1.08057,1.46287,0.0096139,0.0096139,0.0096139
41,3616.43,1.38405,0.76646,1.2616,0.83649,0.6908,0.78223,0.42504,1.7179,1.12097,1.58081,0.009604,0.009604,0.009604
42,3703.88,1.38596,0.76492,1.25934,0.88277,0.73469,0.8398,0.47197,1.56161,1.0264,1.48628,0.0095941,0.0095941,0.0095941
43,3791.34,1.38411,0.76559,1.26091,0.86025,0.75927,0.8488,0.48154,1.51898,0.98477,1.41968,0.0095842,0.0095842,0.0095842
44,3878.57,1.37863,0.75855,1.25467,0.88756,0.77054,0.84635,0.4747,1.56012,0.97241,1.46708,0.0095743,0.0095743,0.0095743
45,3965.88,1.37104,0.75594,1.25227,0.85586,0.77313,0.84979,0.48212,1.55628,0.98918,1.44661,0.0095644,0.0095644,0.0095644
46,4053.18,1.37586,0.75676,1.2506,0.8271,0.77608,0.83501,0.46748,1.56134,0.97381,1.4563,0.0095545,0.0095545,0.0095545
