epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1252,1.22437,1.80823,1.24628,0.9452,0.86426,0.94056,0.64603,1.11999,0.64583,1.19041,0.0033165,0.0033165,0.0033165
2,154.363,1.06352,0.55933,1.11631,0.92568,0.8504,0.92457,0.61089,1.21342,0.73088,1.221,0.00664325,0.00664325,0.00664325
3,229.63,1.08665,0.61382,1.13876,0.62721,0.65394,0.67597,0.39602,1.55644,1.47514,1.56973,0.0099634,0.0099634,0.0099634
4,304.584,1.11811,0.64134,1.16108,0.89503,0.75825,0.86644,0.55854,1.27088,0.87547,1.35963,0.0099703,0.0099703,0.0099703
5,378.695,1.0433,0.57972,1.13684,0.81788,0.82161,0.8717,0.55904,1.29983,0.84248,1.38655,0.0099604,0.0099604,0.0099604
6,452.713,0.99504,0.5403,1.11112,0.9253,0.82932,0.91107,0.59699,1.28933,0.78962,1.36653,0.0099505,0.0099505,0.0099505
7,526.571,0.95705,0.51735,1.09702,0.91656,0.86802,0.93492,0.61913,1.25049,0.67648,1.3938,0.0099406,0.0099406,0.0099406
8,600.777,0.91195,0.4892,1.07916,0.84451,0.84329,0.90527,0.58004,1.26206,0.78323,1.40044,0.0099307,0.0099307,0.0099307
9,674.906,0.88569,0.47168,1.06726,0.93359,0.8522,0.92802,0.61464,1.22959,0.66842,1.43206,0.0099208,0.0099208,0.0099208
10,748.889,0.8558,0.45556,1.05481,0.87228,0.86822,0.92049,0.60655,1.23945,0.72922,1.46562,0.0099109,0.0099109,0.0099109
11,822.778,0.83433,0.44436,1.05099,0.94477,0.85309,0.94083,0.62581,1.23019,0.6346,1.4373,0.009901,0.009901,0.009901
12,896.64,0.81733,0.43443,1.04234,0.92038,0.8292,0.91749,0.612,1.24753,0.68529,1.43111,0.0098911,0.0098911,0.0098911
13,970.557,0.79137,0.42184,1.02764,0.91964,0.87762,0.93803,0.62158,1.21995,0.63277,1.42098,0.0098812,0.0098812,0.0098812
14,1044.47,0.77918,0.41692,1.0224,0.94554,0.88052,0.94503,0.63231,1.20773,0.60758,1.39439,0.0098713,0.0098713,0.0098713
15,1118.68,0.76001,0.40301,1.01914,0.89812,0.87292,0.93515,0.61608,1.25008,0.66154,1.41855,0.0098614,0.0098614,0.0098614
16,1192.53,0.75254,0.39899,1.01418,0.93282,0.87714,0.93831,0.6294,1.21868,0.61663,1.41472,0.0098515,0.0098515,0.0098515
17,1266.38,0.74364,0.39226,1.00915,0.92874,0.87196,0.94095,0.61342,1.27838,0.66797,1.45646,0.0098416,0.0098416,0.0098416
18,1340.24,0.72743,0.38459,1.00589,0.94948,0.90171,0.95528,0.63826,1.22177,0.58971,1.44514,0.0098317,0.0098317,0.0098317
19,1414.18,0.71442,0.37726,1.00045,0.94985,0.89256,0.95507,0.65517,1.15499,0.577,1.35896,0.0098218,0.0098218,0.0098218
20,1488.15,0.7097,0.37598,1.00004,0.94769,0.88906,0.95047,0.64662,1.1801,0.55756,1.42389,0.0098119,0.0098119,0.0098119
21,1562.07,0.69822,0.37109,0.99187,0.94225,0.88438,0.94572,0.63597,1.19492,0.59304,1.37014,0.009802,0.009802,0.009802
22,1635.98,0.69542,0.36739,0.99379,0.94158,0.8523,0.93281,0.64364,1.17137,0.63737,1.38864,0.0097921,0.0097921,0.0097921
23,1709.97,0.68409,0.35923,0.98598,0.95493,0.85124,0.93658,0.63395,1.18241,0.61518,1.36918,0.0097822,0.0097822,0.0097822
24,1784.18,0.6883,0.36362,0.99263,0.94251,0.8775,0.94791,0.63597,1.21426,0.57009,1.44174,0.0097723,0.0097723,0.0097723
25,1858,0.67383,0.35676,0.98564,0.95199,0.88039,0.94651,0.6472,1.16316,0.57473,1.38165,0.0097624,0.0097624,0.0097624
26,1931.77,0.66526,0.35143,0.98079,0.94964,0.8744,0.94717,0.6424,1.14982,0.56882,1.38583,0.0097525,0.0097525,0.0097525
27,2005.6,0.6623,0.34981,0.9794,0.95699,0.83642,0.94205,0.64718,1.19291,0.61602,1.41722,0.0097426,0.0097426,0.0097426
28,2079.44,0.65668,0.34405,0.97697,0.93996,0.87581,0.94166,0.62643,1.22178,0.57666,1.44502,0.0097327,0.0097327,0.0097327
29,2153.21,0.6559,0.34525,0.97989,0.9566,0.87875,0.95013,0.6532,1.15925,0.55438,1.39332,0.0097228,0.0097228,0.0097228
30,2227.06,0.64986,0.3429,0.97741,0.93407,0.88397,0.95215,0.65238,1.15344,0.5369,1.39617,0.0097129,0.0097129,0.0097129
31,2300.79,0.64425,0.33852,0.97534,0.94965,0.90184,0.95791,0.6523,1.19398,0.53476,1.42233,0.009703,0.009703,0.009703
32,2374.5,0.64031,0.33713,0.97322,0.94749,0.87598,0.94692,0.63786,1.19727,0.55667,1.41109,0.0096931,0.0096931,0.0096931
33,2448.17,0.63508,0.33438,0.97273,0.9506,0.85071,0.93513,0.63431,1.18049,0.58497,1.40547,0.0096832,0.0096832,0.0096832
34,2521.87,0.63263,0.33159,0.96971,0.9536,0.86144,0.94833,0.64513,1.16063,0.56509,1.38162,0.0096733,0.0096733,0.0096733
35,2595.48,0.63215,0.33173,0.96834,0.88604,0.8987,0.95213,0.65616,1.17585,0.56242,1.40601,0.0096634,0.0096634,0.0096634
36,2669.2,0.61848,0.32547,0.96443,0.9539,0.88159,0.95541,0.64396,1.18146,0.53427,1.39822,0.0096535,0.0096535,0.0096535
37,2742.89,0.61893,0.32629,0.96458,0.93952,0.88075,0.95049,0.64235,1.18753,0.56781,1.41889,0.0096436,0.0096436,0.0096436
38,2816.59,0.61349,0.32458,0.96212,0.94446,0.88695,0.94824,0.64825,1.16829,0.5521,1.40689,0.0096337,0.0096337,0.0096337
39,2890.94,0.61526,0.32531,0.96296,0.96598,0.83088,0.94615,0.64866,1.15556,0.57996,1.39665,0.0096238,0.0096238,0.0096238
40,2964.64,0.61035,0.3244,0.96249,0.95053,0.89331,0.9573,0.65675,1.15759,0.53133,1.39392,0.0096139,0.0096139,0.0096139
41,3038.43,0.60892,0.324,0.96127,0.95363,0.89915,0.95681,0.65948,1.15395,0.52414,1.39358,0.009604,0.009604,0.009604
42,3112.18,0.60185,0.31789,0.95804,0.96051,0.84967,0.95247,0.65818,1.15841,0.56207,1.40473,0.0095941,0.0095941,0.0095941
43,3185.94,0.60568,0.31907,0.96245,0.92833,0.87211,0.95366,0.65343,1.17003,0.54795,1.41015,0.0095842,0.0095842,0.0095842
44,3259.71,0.60748,0.32071,0.96059,0.95448,0.89677,0.95886,0.66483,1.13996,0.52184,1.37987,0.0095743,0.0095743,0.0095743
45,3333.46,0.59686,0.31439,0.95498,0.95346,0.88376,0.95743,0.65722,1.16575,0.53095,1.40031,0.0095644,0.0095644,0.0095644
46,3407.13,0.59847,0.3148,0.95759,0.95894,0.85726,0.95096,0.64583,1.18443,0.5584,1.40825,0.0095545,0.0095545,0.0095545
47,3480.81,0.59939,0.31541,0.95817,0.88626,0.90809,0.94772,0.64888,1.16488,0.56376,1.39209,0.0095446,0.0095446,0.0095446
48,3554.51,0.59633,0.31179,0.95913,0.95093,0.89409,0.95556,0.65903,1.16132,0.52223,1.39554,0.0095347,0.0095347,0.0095347
49,3628.29,0.58756,0.31022,0.95425,0.94632,0.87274,0.95522,0.65803,1.15138,0.52529,1.38825,0.0095248,0.0095248,0.0095248
50,3702.08,0.59323,0.31066,0.95666,0.93684,0.86646,0.95312,0.65814,1.15271,0.52464,1.38182,0.0095149,0.0095149,0.0095149
51,3775.81,0.58739,0.31053,0.95507,0.97119,0.86888,0.95745,0.65741,1.15737,0.51735,1.38375,0.009505,0.009505,0.009505
52,3849.49,0.58818,0.30819,0.95452,0.89132,0.91376,0.95644,0.66004,1.1516,0.52995,1.38658,0.0094951,0.0094951,0.0094951
53,3923.11,0.58572,0.30931,0.95238,0.96173,0.87461,0.95928,0.66511,1.1518,0.51586,1.38086,0.0094852,0.0094852,0.0094852
54,3996.91,0.58166,0.30744,0.94989,0.88921,0.90778,0.95537,0.65918,1.15429,0.54146,1.38469,0.0094753,0.0094753,0.0094753
55,4070.73,0.58054,0.30523,0.9513,0.94072,0.86969,0.95633,0.66258,1.15559,0.53407,1.39267,0.0094654,0.0094654,0.0094654
56,4144.34,0.57667,0.30582,0.94978,0.96484,0.87262,0.95861,0.66265,1.16052,0.52869,1.3988,0.0094555,0.0094555,0.0094555
57,4217.92,0.57429,0.30278,0.95019,0.96491,0.8777,0.95773,0.66057,1.15531,0.52227,1.39641,0.0094456,0.0094456,0.0094456
58,4291.59,0.57214,0.30236,0.94902,0.96355,0.87891,0.95816,0.66331,1.14819,0.51811,1.38933,0.0094357,0.0094357,0.0094357
59,4365.24,0.57393,0.30172,0.94823,0.95742,0.87202,0.95835,0.66426,1.14668,0.52441,1.38912,0.0094258,0.0094258,0.0094258
60,4438.98,0.57153,0.30075,0.94722,0.96007,0.88037,0.95847,0.6607,1.15955,0.52128,1.39658,0.0094159,0.0094159,0.0094159
61,4512.69,0.57094,0.30038,0.94928,0.95966,0.89406,0.95955,0.66555,1.15496,0.50908,1.39241,0.009406,0.009406,0.009406
62,4586.47,0.56869,0.29879,0.9472,0.96011,0.89594,0.96075,0.66635,1.15432,0.50582,1.39011,0.0093961,0.0093961,0.0093961
63,4660.17,0.56729,0.2995,0.94547,0.96506,0.89966,0.96034,0.66392,1.16062,0.50043,1.39611,0.0093862,0.0093862,0.0093862
64,4733.77,0.56606,0.29943,0.94607,0.96519,0.89842,0.96146,0.66535,1.15602,0.49974,1.39483,0.0093763,0.0093763,0.0093763
65,4807.58,0.56441,0.29701,0.94822,0.96153,0.90026,0.96248,0.66593,1.15158,0.49757,1.39001,0.0093664,0.0093664,0.0093664
66,4881.21,0.55928,0.2946,0.94357,0.95806,0.89972,0.96216,0.66593,1.14877,0.49812,1.39048,0.0093565,0.0093565,0.0093565
67,4954.98,0.56359,0.29509,0.9455,0.95242,0.89215,0.95932,0.66522,1.14332,0.5068,1.39004,0.0093466,0.0093466,0.0093466
68,5028.65,0.56032,0.29576,0.94341,0.95299,0.88412,0.95741,0.66199,1.14932,0.51163,1.39848,0.0093367,0.0093367,0.0093367
69,5102.33,0.55995,0.29826,0.94214,0.94757,0.88328,0.9564,0.66119,1.15046,0.51608,1.39651,0.0093268,0.0093268,0.0093268
70,5176.01,0.55769,0.29469,0.94125,0.91818,0.89918,0.95542,0.66089,1.15114,0.52451,1.39662,0.0093169,0.0093169,0.0093169
71,5249.67,0.55662,0.29427,0.94364,0.93341,0.88581,0.95718,0.66112,1.15046,0.52142,1.39607,0.009307,0.009307,0.009307
72,5323.99,0.55686,0.29463,0.94511,0.92393,0.89774,0.95785,0.66172,1.15246,0.52058,1.39812,0.0092971,0.0092971,0.0092971
73,5397.55,0.55753,0.29301,0.94354,0.94965,0.87545,0.95786,0.66162,1.15208,0.51832,1.39852,0.0092872,0.0092872,0.0092872
74,5471.27,0.55839,0.29346,0.94289,0.94811,0.87376,0.95793,0.66097,1.15382,0.52007,1.3989,0.0092773,0.0092773,0.0092773
75,5545.07,0.56012,0.29348,0.94622,0.9083,0.9056,0.95728,0.66056,1.15288,0.52122,1.39778,0.0092674,0.0092674,0.0092674
76,5618.87,0.55468,0.28904,0.94281,0.90678,0.90918,0.95776,0.66127,1.15017,0.5196,1.39542,0.0092575,0.0092575,0.0092575
77,5692.51,0.55524,0.29051,0.94311,0.90422,0.91194,0.95787,0.66073,1.15161,0.51943,1.39549,0.0092476,0.0092476,0.0092476
78,5766.22,0.55446,0.28984,0.94522,0.89991,0.91797,0.9576,0.66118,1.15164,0.52028,1.39644,0.0092377,0.0092377,0.0092377
79,5839.99,0.55161,0.29075,0.94274,0.89994,0.91866,0.95725,0.66174,1.15019,0.5191,1.39596,0.0092278,0.0092278,0.0092278
80,5913.81,0.54628,0.28674,0.93908,0.90001,0.91797,0.95709,0.66245,1.15046,0.51775,1.39661,0.0092179,0.0092179,0.0092179
81,5987.79,0.54422,0.28702,0.9385,0.90132,0.91906,0.9575,0.66268,1.15062,0.51535,1.39712,0.009208,0.009208,0.009208
82,6061.58,0.54415,0.28609,0.9379,0.89937,0.92002,0.9572,0.66267,1.15032,0.51547,1.39757,0.0091981,0.0091981,0.0091981
83,6135.45,0.54306,0.28558,0.93939,0.89906,0.92048,0.95619,0.6621,1.15146,0.51842,1.39832,0.0091882,0.0091882,0.0091882
