epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0885,1.60187,2.18545,1.47273,0.9055,0.79408,0.85857,0.46586,1.58619,0.89603,1.37636,0.0033165,0.0033165,0.0033165
2,155.482,1.2943,0.75253,1.21993,0.88791,0.74054,0.82381,0.41402,1.73124,1.02503,1.54013,0.00664325,0.00664325,0.00664325
3,231.588,1.28682,0.79994,1.21941,0.80077,0.68742,0.70545,0.3474,1.8018,1.49239,1.67013,0.0099634,0.0099634,0.0099634
4,307.821,1.30965,0.83346,1.251,0.7433,0.57793,0.62426,0.30612,1.87908,1.7649,1.77604,0.0099703,0.0099703,0.0099703
5,384.366,1.2139,0.75033,1.20537,0.77944,0.66562,0.74212,0.38872,1.709,1.58418,1.57414,0.0099604,0.0099604,0.0099604
6,460.209,1.15283,0.69555,1.18385,0.77773,0.71648,0.7919,0.43011,1.59482,1.24514,1.58897,0.0099505,0.0099505,0.0099505
7,536.048,1.08708,0.65878,1.15422,0.77136,0.72838,0.77994,0.40432,1.72697,1.06742,1.70569,0.0099406,0.0099406,0.0099406
8,612.625,1.02851,0.61649,1.12281,0.78684,0.7126,0.78043,0.4192,1.62316,1.22438,1.59584,0.0099307,0.0099307,0.0099307
9,688.451,1.00082,0.599,1.11363,0.87991,0.73259,0.82267,0.43578,1.65739,1.03494,1.6955,0.0099208,0.0099208,0.0099208
10,764.396,0.95892,0.56957,1.0974,0.86674,0.69415,0.81209,0.44715,1.58723,1.02631,1.61707,0.0099109,0.0099109,0.0099109
11,840.3,0.93792,0.55318,1.0894,0.83416,0.77548,0.80556,0.44767,1.5518,0.99143,1.61742,0.009901,0.009901,0.009901
12,915.929,0.90948,0.53791,1.07621,0.82285,0.72232,0.76874,0.42611,1.62454,1.18543,1.69443,0.0098911,0.0098911,0.0098911
13,991.557,0.88464,0.52415,1.06017,0.86464,0.74556,0.82666,0.46077,1.58473,0.99765,1.61794,0.0098812,0.0098812,0.0098812
14,1067.7,0.87381,0.51866,1.06213,0.83715,0.73476,0.82843,0.45868,1.55457,1.03088,1.61315,0.0098713,0.0098713,0.0098713
15,1143.64,0.85963,0.50873,1.0534,0.82212,0.75601,0.81291,0.43102,1.65256,1.02028,1.71022,0.0098614,0.0098614,0.0098614
16,1220.26,0.84575,0.50037,1.05102,0.89498,0.77271,0.84925,0.4602,1.5889,1.04386,1.61784,0.0098515,0.0098515,0.0098515
17,1295.76,0.82567,0.48735,1.04026,0.89427,0.79768,0.87354,0.49484,1.51984,0.84574,1.62277,0.0098416,0.0098416,0.0098416
18,1372.26,0.81471,0.48283,1.03573,0.87289,0.7768,0.85274,0.47936,1.51474,1.0214,1.55994,0.0098317,0.0098317,0.0098317
19,1448.04,0.8009,0.4703,1.03037,0.86269,0.77403,0.84774,0.46443,1.5953,0.98697,1.60722,0.0098218,0.0098218,0.0098218
20,1523.81,0.79457,0.47139,1.02568,0.9099,0.79434,0.87116,0.49705,1.54727,0.9439,1.62735,0.0098119,0.0098119,0.0098119
21,1599.55,0.7829,0.46595,1.02528,0.89754,0.80508,0.88192,0.49919,1.53129,0.85137,1.60498,0.009802,0.009802,0.009802
22,1675.21,0.78084,0.46082,1.02425,0.90213,0.79366,0.8662,0.48236,1.56145,0.89422,1.58905,0.0097921,0.0097921,0.0097921
23,1750.98,0.76953,0.45347,1.01532,0.85575,0.77355,0.84594,0.46954,1.56037,0.90947,1.57832,0.0097822,0.0097822,0.0097822
24,1826.86,0.76719,0.44967,1.01912,0.84158,0.75849,0.84248,0.47841,1.5336,0.93419,1.58154,0.0097723,0.0097723,0.0097723
25,1903.15,0.75782,0.44586,1.0167,0.89805,0.80222,0.8738,0.49751,1.5198,0.84152,1.61264,0.0097624,0.0097624,0.0097624
26,1978.77,0.74321,0.43757,1.00654,0.90178,0.79258,0.86135,0.48627,1.56433,0.89275,1.59626,0.0097525,0.0097525,0.0097525
27,2054.58,0.74805,0.43661,1.00881,0.87391,0.81059,0.87611,0.50088,1.50829,0.8548,1.53366,0.0097426,0.0097426,0.0097426
28,2130.05,0.73868,0.43379,1.00608,0.91243,0.81944,0.88492,0.50298,1.52282,0.81502,1.6008,0.0097327,0.0097327,0.0097327
29,2205.94,0.73735,0.42897,1.00639,0.90352,0.80378,0.87208,0.49811,1.51941,0.83784,1.59624,0.0097228,0.0097228,0.0097228
30,2281.78,0.72935,0.42586,1.00308,0.90142,0.81393,0.88255,0.50931,1.50454,0.80042,1.59446,0.0097129,0.0097129,0.0097129
31,2357.68,0.71879,0.42175,0.99993,0.87587,0.79836,0.87058,0.50144,1.4938,0.8533,1.55737,0.009703,0.009703,0.009703
32,2433.59,0.71599,0.41764,0.99902,0.89664,0.80459,0.86842,0.49383,1.52129,0.86064,1.56156,0.0096931,0.0096931,0.0096931
33,2509.63,0.71574,0.41616,0.99792,0.8864,0.77912,0.86086,0.49948,1.47972,0.87515,1.56042,0.0096832,0.0096832,0.0096832
34,2585.28,0.71561,0.41704,0.99672,0.90009,0.80884,0.87684,0.50096,1.51309,0.81962,1.57442,0.0096733,0.0096733,0.0096733
35,2660.97,0.71142,0.41054,0.99502,0.90702,0.79716,0.87602,0.50321,1.50818,0.85309,1.5596,0.0096634,0.0096634,0.0096634
36,2736.64,0.70259,0.40997,0.9916,0.91047,0.83365,0.89653,0.5097,1.51246,0.77975,1.57717,0.0096535,0.0096535,0.0096535
37,2812.39,0.69545,0.40338,0.99071,0.89949,0.79415,0.87038,0.4973,1.51691,0.83864,1.6088,0.0096436,0.0096436,0.0096436
38,2888.57,0.69582,0.40508,0.98938,0.8878,0.79302,0.8753,0.49733,1.5233,0.82634,1.58602,0.0096337,0.0096337,0.0096337
39,2964.31,0.70207,0.40602,0.99158,0.90891,0.80222,0.87464,0.50204,1.51405,0.8362,1.60956,0.0096238,0.0096238,0.0096238
40,3040.42,0.69232,0.40681,0.99153,0.89118,0.79101,0.87419,0.50086,1.4968,0.85005,1.57396,0.0096139,0.0096139,0.0096139
